ID;user_id;food_item;jumlah;tanggal_beli;stock;like
75836;ibet;Apple;2;01/05/2023;4;0,8
75836;ibet;Banana;4;15/04/2023;9;0,8
75836;ibet;Orange;1;19/05/2023;7;0,6
75836;ibet;Tomato;3;28/04/2023;8;0,4
75836;ibet;Bread;2;10/05/2023;7;0,9
75836;ibet;Milk;1;20/04/2023;8;0,9
75836;ibet;Chicken;2;29/04/2023;6;1
75836;ibet;Eggs;1;06/05/2023;12;0,9
75836;ibet;Pasta;5;06/05/2023;4;0,7
75836;ibet;Rice;3;17/04/2023;5;1
86637;iip;Pasta;2;24/04/2023;4;0,8
86637;iip;Apple;1;02/05/2023;9;0,8
86637;iip;Orange;2;17/05/2023;7;0,6
86637;iip;Bread;1;30/04/2023;8;0,4
86637;iip;Tomato;2;19/04/2023;7;0,9
86637;iip;Chicken;1;08/05/2023;8;0,9
86637;iip;Eggs;2;27/04/2023;6;1
86637;iip;Milk;1;18/04/2023;12;0,9
86637;iip;Rice;2;05/05/2023;4;0,7
86637;iip;Banana;3;14/05/2023;5;1
83547;timo;Pasta;1;04/05/2023;4;0,8
83547;timo;Apple;2;21/04/2023;9;0,8
83547;timo;Orange;1;11/05/2023;7;0,6
83547;timo;Bread;2;01/05/2023;8;0,4
83547;timo;Tomato;1;23/04/2023;7;0,9
83547;timo;Chicken;3;29/04/2023;8;0,9
83547;timo;Eggs;2;15/05/2023;6;1
83547;timo;Milk;1;27/04/2023;12;0,9
83547;timo;Rice;2;06/05/2023;4;0,7
83547;timo;Banana;1;25/04/2023;5;1
83547;timo;Pasta;3;13/05/2023;4;0,8
65836;virli;Apple;2;26/04/2023;9;0,8
65836;virli;Orange;1;07/05/2023;7;0,6
65836;virli;Bread;3;22/04/2023;8;0,4
65836;virli;Tomato;2;10/05/2023;7;0,9
65836;virli;Chicken;1;03/05/2023;8;0,9
65836;virli;Eggs;2;16/04/2023;6;1
65836;virli;Milk;1;25/04/2023;12;0,9
65836;virli;Rice;3;09/05/2023;4;0,7
65836;virli;Banana;2;30/04/2023;5;1
65836;virli;Pasta;1;18/05/2023;4;0,8
62845;aldi;Apple;2;19/04/2023;9;0,9
62845;aldi;Orange;1;12/05/2023;7;0,6
62845;aldi;Bread;2;28/04/2023;8;0,4
62845;aldi;Tomato;1;04/05/2023;7;0,9
62845;aldi;Chicken;3;24/04/2023;8;9
62845;aldi;Eggs;2;16/05/2023;6;10
62845;aldi;Milk;1;22/04/2023;12;9
62845;aldi;Rice;2;08/05/2023;4;7
62845;aldi;Banana;1;20/04/2023;5;10
62845;aldi;Pasta;3;14/05/2023;4;8
72548;hans;Apple;2;27/04/2023;9;8
72548;hans;Orange;1;09/05/2023;7;6
72548;hans;Bread;3;23/04/2023;8;4
72548;hans;Tomato;2;11/05/2023;7;9
72548;hans;Chicken;1;01/05/2023;8;9
72548;hans;Eggs;2;17/04/2023;6;10
72548;hans;Milk;1;29/04/2023;12;9
72548;hans;Rice;3;07/05/2023;4;7
72548;hans;Banana;2;27/04/2023;5;10
72548;hans;Pasta;1;17/05/2023;4;8
18393;akmal;Apple;2;21/04/2023;9;8
18393;akmal;Orange;1;13/05/2023;7;6
18393;akmal;Bread;2;30/04/2023;8;4
18393;akmal;Tomato;1;06/05/2023;7;9
18393;akmal;Chicken;3;26/04/2023;8;9
18393;akmal;Eggs;2;15/05/2023;6;10
18393;akmal;Milk;1;23/04/2023;12;9
18393;akmal;Rice;2;11/05/2023;4;7
18393;akmal;Banana;1;29/04/2023;5;10
18393;akmal;Pasta;3;19/05/2023;4;8
85936;cecen;Apple;2;24/04/2023;9;8
85936;cecen;Orange;1;03/05/2023;7;6
85936;cecen;Bread;3;18/04/2023;8;4
85936;cecen;Tomato;2;12/05/2023;7;9
85936;cecen;Chicken;1;28/04/2023;8;9
85936;cecen;Eggs;2;16/05/2023;6;10
85936;cecen;Milk;1;22/04/2023;12;9
85936;cecen;Rice;2;10/05/2023;4;7
85936;cecen;Banana;1;21/04/2023;5;10
85936;cecen;Pasta;3;13/05/2023;4;8
94725;datu;Apple;2;26/04/2023;9;8
94725;datu;Orange;1;06/05/2023;7;6
94725;datu;Bread;2;25/04/2023;8;4
94725;datu;Tomato;1;09/05/2023;7;9
94725;datu;Chicken;3;19/04/2023;8;9
94725;datu;Eggs;2;15/05/2023;6;10
94725;datu;Milk;1;24/04/2023;12;9
94725;datu;Rice;2;08/05/2023;4;7
94725;datu;Banana;1;27/04/2023;5;10
94725;datu;Pasta;3;18/05/2023;4;8
69326;arfa;Apple;2;22/04/2023;9;8
69326;arfa;Orange;1;11/05/2023;7;6
69326;arfa;Bread;3;24/04/2023;8;4
69326;arfa;Tomato;2;10/05/2023;7;9
69326;arfa;Chicken;1;30/04/2023;8;9
69326;arfa;Eggs;2;16/05/2023;6;10
69326;arfa;Milk;1;22/04/2023;12;9
69326;arfa;Rice;2;06/05/2023;4;7
69326;arfa;Banana;1;25/04/2023;5;10
69326;arfa;Pasta;3;14/05/2023;4;8
89383;mahdy;Apple;2;23/04/2023;9;8
89383;mahdy;Orange;1;03/05/2023;7;6
89383;mahdy;Bread;3;20/04/2023;8;4
89383;mahdy;Tomato;2;07/05/2023;7;9
89383;mahdy;Chicken;1;29/04/2023;8;9
89383;mahdy;Eggs;2;17/05/2023;6;10
89383;mahdy;Milk;1;22/04/2023;12;9
89383;mahdy;Rice;2;11/05/2023;4;7
89383;mahdy;Banana;1;30/04/2023;5;10
89383;mahdy;Pasta;3;19/05/2023;4;8
99886;jojo;Apple;2;24/04/2023;9;8
99886;jojo;Orange;1;10/05/2023;7;6
99886;jojo;Bread;3;27/04/2023;8;4
99886;jojo;Tomato;2;12/05/2023;7;9
99886;jojo;Chicken;1;23/04/2023;8;9
99886;jojo;Eggs;2;14/05/2023;6;10
99886;jojo;Milk;1;25/04/2023;12;9
99886;jojo;Rice;2;08/05/2023;4;7
99886;jojo;Banana;1;21/04/2023;5;10
99886;jojo;Pasta;3;13/05/2023;4;8
98790;paang;Apple;2;26/04/2023;9;8
98790;paang;Orange;1;07/05/2023;7;6
98790;paang;Bread;3;18/04/2023;8;4
98790;paang;Tomato;2;11/05/2023;7;9
98790;paang;Chicken;1;29/04/2023;8;9
98790;paang;Eggs;2;15/05/2023;6;10
98790;paang;Milk;1;22/04/2023;12;9
98790;paang;Rice;2;10/05/2023;4;7
98790;paang;Banana;1;27/04/2023;5;1
98790;paang;Pasta;3;17/05/2023;4;8
12019;arie;Apple;2;25/04/2023;9;0,8
12019;arie;Orange;1;09/05/2023;7;0,6
12019;arie;Bread;3;23/04/2023;8;0,4
12019;arie;Tomato;2;10/05/2023;7;0,9
12019;arie;Chicken;1;30/04/2023;8;0,9
